"region","glu_name","region_id","metric_id","landclass","1975","1990","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"Africa_Eastern","CongoR",2,"183","OtherGrain_RFD",0.2418,0.410328,0.418454,0.39338,0.312058,0.357895,0.333249,0.33524,0.323264,0.294346,0.2702855,0.2676775
"Africa_Eastern","CongoR",2,"183","PalmFruit_IRR",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","CongoR",2,"183","PalmFruit_RFD",0.00473022,0.0050108,0.0142706,0.0234476,0.033449,0.0388203,0.0398085,0.040624,0.0402288,0.0400861,0.0400444,0.03977375
"Africa_Eastern","CongoR",2,"183","Pasture",0.274651,0.335971,0.321465,0.350136,0.33531,0.342525,0.318977,0.343486,0.349496,0.355123,0.368139,0.394799
"Africa_Eastern","CongoR",2,"183","ProtectedGrassland",4.7067,4.70669,4.70669,4.70693,4.70668,4.70668,4.70668,4.70668,4.70668,4.70668,4.70668,4.70668
"Africa_Eastern","CongoR",2,"183","ProtectedShrubland",0.0599266,0,0.011259,0.0138337,0.025893,0.025893,0.025893,0.025893,0.025893,0.025893,0.025893,0.025893
"Africa_Eastern","CongoR",2,"183","ProtectedUnmanagedForest",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","CongoR",2,"183","ProtectedUnmanagedPasture",4.48698,4.70276,3.08412,3.04752,3.06219,3.06219,3.06219,3.06219,3.06219,3.06219,3.06219,3.06219
"Africa_Eastern","CongoR",2,"183","Rice_IRR",0.01768744,0.0670116,0.1316302,0.1548032,0.1921264,0.1908518,0.1741528,0.1697254,0.1707167,0.1621165,0.1479012,0.1405953
"Africa_Eastern","CongoR",2,"183","Rice_RFD",0.0025548,0.0096796,0.0190134,0.0223608,0.027752,0.0272042,0.026227,0.0255678,0.02534481,0.02476787,0.02360334,0.02291837
"Africa_Eastern","CongoR",2,"183","RockIceDesert",0.0555451,0,0,0.019531,0,0,0,0,0,0,0,0
"Africa_Eastern","CongoR",2,"183","Root_Tuber_IRR",0.0037256,0.006319,0.0074268,0.0078944,0.0101888,0.01021716,0.00967128,0.00910315,0.00861203,0.00784685,0.00707847,0.00630217
"Africa_Eastern","CongoR",2,"183","Root_Tuber_RFD",0.799934,1.356778,1.594614,1.695008,2.18764,2.28972,2.42206,2.412631,2.345644,2.283368,2.230209,2.100185
"Africa_Eastern","CongoR",2,"183","Shrubland",0.00665852,0,0.001251,0.00153708,0.002877,0.00256382,0.00215897,0.0019566,0.00170083,0.00147398,0.00128874,0.00115696
"Africa_Eastern","CongoR",2,"183","SugarCrop_IRR",0.000977402,0.0037016,0.0090338,0.00855224,0.0113946,0.01139914,0.01041589,0.01008198,0.00951203,0.00878918,0.00827561,0.00829435
"Africa_Eastern","CongoR",2,"183","SugarCrop_RFD",0.000531202,0.0020114,0.004909,0.00464724,0.0061918,0.00607376,0.00539394,0.00512542,0.00446266,0.00380768,0.00327764,0.00299763
"Africa_Eastern","CongoR",2,"183","UnmanagedForest",0.454121,0.261528,0.112972,0.0510897,0,0,0,0,0,0,0,0
"Africa_Eastern","CongoR",2,"183","UnmanagedPasture",0.498554,0.522529,0.34268,0.338613,0.340243,0.269467,0.193181,0.154489,0.114039,0.0829971,0.0607217,0.0462712
"Africa_Eastern","CongoR",2,"183","UrbanLand",0.01922,0.04184,0.10525,0.133627,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257
"Africa_Eastern","CongoR",2,"183","Wheat_IRR",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","CongoR",2,"183","Wheat_RFD",0.0356828,0.060114,0.072819,0.0914432,0.0445376,0.0477998,0.0484964,0.0524714,0.0583171,0.0657667,0.0730943,0.0805662
"Africa_Eastern","LChad",2,"151","biomass_grass_IRR",0,0,0,0,0,0,0.00225177,0.00247807,0.00276339,0.00326485,0.00377395,0.00436039
